Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 0-4,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx
60653,34519,0.250644573,0.153364814,0.137054955,0.118659289,0.127929546,0.11469046,0.059532431,0.038123932,0.078971001,0.088501984,0.082534256,0.921028999,0.749355427,0.149511863,0.583678554,0.416321446,0.046148498,0.012746603,0.851415163,0.062921869,0.026767867
60654,21859,0.042362414,0.323939796,0.315247724,0.093874377,0.110343566,0.074751818,0.028134864,0.011345441,0.02214191,0.01665218,0.003568324,0.97785809,0.957637586,0.076490233,0.493297955,0.506702045,0.083947116,0.122192232,0.041081477,0.710233771,0.042545405
60655,28751,0.245591458,0.131995409,0.114604709,0.139577754,0.148620918,0.123786999,0.062919551,0.032903203,0.056311085,0.10243122,0.086849153,0.943688915,0.754408542,0.145977531,0.503356405,0.496643595,0.093596744,0.014295155,0.052102536,0.810580502,0.029425063
60656,28665,0.191487877,0.123425781,0.180777952,0.134205477,0.129530787,0.130019187,0.070818071,0.039734868,0.065061922,0.072039072,0.054386883,0.934938078,0.808512123,0.176661434,0.482539683,0.517460317,0.127228327,0.113064713,0.036071865,0.698656899,0.024978196
60657,72113,0.12994883,0.330869607,0.238403617,0.102672195,0.081219752,0.062582336,0.034903554,0.019400108,0.056300528,0.046330065,0.027318237,0.943699472,0.87005117,0.082481661,0.478207813,0.521792187,0.088652531,0.065009083,0.036720148,0.768016862,0.041601376
60659,43729,0.268723273,0.149694711,0.139198244,0.126780855,0.135242059,0.107983261,0.04438702,0.027990578,0.077614398,0.092089917,0.098790276,0.922385602,0.731276727,0.117016168,0.509021473,0.490978527,0.239749365,0.2670539,0.084108944,0.359395367,0.049692424
60660,44972,0.131592991,0.243195766,0.202637196,0.127901806,0.109112337,0.0965712,0.060771146,0.028217558,0.053277595,0.050876101,0.026327493,0.946722405,0.868407009,0.136106911,0.493240238,0.506759762,0.176420884,0.136040203,0.142555368,0.497887574,0.047095971
60661,11073,0.078569493,0.297390048,0.379210693,0.136367741,0.065564888,0.027815407,0.009843764,0.005237966,0.047773864,0.02646076,0.004334869,0.952226136,0.921430507,0.028718504,0.484873115,0.515126885,0.082181884,0.286914115,0.023661158,0.576898763,0.03034408
60666,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
60707,41309,0.209930039,0.142317655,0.144423733,0.141252512,0.13268295,0.118037232,0.073954828,0.037401051,0.049141833,0.086131352,0.074656854,0.950858167,0.790069961,0.166404416,0.531143334,0.468856666,0.40763514,0.036093829,0.067685008,0.469752354,0.018833668
60827,26010,0.318300654,0.166782007,0.125643983,0.123337178,0.107343329,0.102768166,0.039946175,0.015878508,0.091272587,0.122414456,0.104344483,0.908727413,0.681699346,0.102114571,0.549211842,0.450788158,0.067820069,0.00011534,0.896885813,0.015993849,0.019184929
60626,50295,0.159200716,0.237339696,0.178248335,0.139079431,0.133969579,0.086688538,0.043304503,0.022169202,0.055870365,0.059190774,0.043046028,0.944129635,0.840799284,0.101361964,0.503389999,0.496610001,0.192742817,0.054160453,0.251436525,0.457878517,0.043781688
60628,64489,0.212966552,0.180464885,0.116159345,0.11774101,0.140582115,0.107460187,0.07536169,0.049264216,0.055156693,0.08525485,0.072213866,0.944843307,0.787033448,0.169641334,0.542123463,0.457876537,0.043030594,0.001225015,0.917489804,0.022670533,0.015584053
60629,107487,0.272432945,0.192488394,0.123056742,0.139123801,0.103231088,0.07616735,0.071524929,0.02197475,0.076911627,0.100347019,0.095164997,0.923088373,0.727567055,0.127885233,0.500088383,0.499911617,0.736005284,0.005535553,0.175630541,0.071171397,0.011657224
60630,55591,0.199546689,0.126873055,0.160565559,0.131981796,0.134536166,0.143458473,0.064848627,0.038189635,0.058246839,0.078411973,0.062779946,0.941753161,0.800453311,0.173733158,0.499847098,0.500152902,0.255077261,0.128114263,0.018114443,0.563490493,0.03520354
60631,30589,0.226388571,0.10814345,0.142436824,0.124652653,0.152244271,0.120500834,0.060348491,0.065284906,0.076563471,0.087057439,0.062767662,0.923436529,0.773611429,0.181307006,0.507241165,0.492758835,0.146817483,0.041256661,0.010036288,0.763673216,0.038216352
